,feature,size,weight,gain,cv
9,GeneID.7783,20,0.09475465313028765,3.5452493516607144,1
10,GeneID.3852,20,0.023688663282571912,3.4104224785714288,1
11,GeneID.23498,20,0.030456852791878174,3.817836193333333,1
12,GeneID.29089,20,0.011844331641285956,3.9476005699999996,1
13,GeneID.57650,20,0.030456852791878174,4.940789487222222,1
14,GeneID.80129,20,0.01353637901861252,2.06933368875,1
15,GeneID.12,20,0.1065989847715736,3.522549735714285,1
16,GeneID.306,20,0.0338409475465313,4.74394206695,1
17,GeneID.7272,20,0.00676818950930626,2.68243164,1
18,GeneID.8190,20,0.00676818950930626,2.1195750825,1
19,GeneID.2296,20,0.049069373942470386,1.7369578820689657,1
0,GeneID.1672,10,0.17333333333333334,9.524850824807693,1
1,GeneID.83903,10,0.12333333333333334,10.029772703783786,1
2,GeneID.4137,10,0.03,8.594145137777778,1
3,GeneID.55165,10,,,1
4,GeneID.8424,10,0.20333333333333334,11.274886647868852,1
5,GeneID.2064,10,0.04666666666666667,2.491168158571429,1
6,GeneID.27190,10,0.013333333333333334,1.6635915024999999,1
7,GeneID.57650,10,,,1
8,GeneID.306,10,0.13333333333333333,4.78421127725,1
9,GeneID.3872,10,0.27666666666666667,4.297601351204819,1
